Classification,Case Number,Date,Time,Occurred Earliest,Time_Cleaned,Occurred Latest,General Location,Disposition
Theft,23-1620-OF,09/13/2023,20:30,09/13/2023 12:30,09/13/2023 12:30,09/13/2023 19:00,Wilcox Hall,Open Investigation
Theft,23-1622-OF,09/14/2023,11:44,05/19/2023 10:00,05/19/2023 10:00,9/1/23 7:00,Class of 1967 Hall,Open Investigation
Theft,23-1624-OF,09/14/2023,14:28,05/20/2023 00:01,05/20/2023 00:01,05/29/2023 23:59,Grousbeck Hall,Open Investigation
Theft,23-1635-OF,09/15/2023,22:40,09/15/2023 21:50,09/15/2023 21:50,09/15/2023 22:40,New College West,Unfounded
Theft,23-1655-OF,09/18/2023,10:43,09/14/2023 18:00,09/14/2023 18:00,09/15/2023 10:00,Engineering Quad,Open Investigation
Theft,23-1659-OF,09/19/2023,10:38,09/18/2023 21:00,09/18/2023 21:00,09/19/2023 08:50,Blair Hall,Open Investigation
Theft,23-1659-OF,09/19/2023,10:38,09/18/2023 21:00,09/18/2023 21:00,09/19/2023 08:50,Blair Hall,Open Investigation
Theft,23-1667-OF,09/20/2023,7:57,09/19/2023 18:10,09/19/2023 18:10,09/20/2023 08:00,Lawrence Apartments,Open Investigation
Theft,23-1669-OF,09/20/2023,13:12,09/20/2023 10:50,09/20/2023 10:50,09/20/2023 13:15,East Pyne Hall,Open Investigation
Theft,23-1670-OF,09/20/2023,14:46,09/19/2023 20:00,09/19/2023 20:00,09/20/2023 08:00,Pyne Hall,Open Investigation
Theft,23-1679-OF,09/21/2023,13:34,09/20/2023 21:00,09/20/2023 21:00,09/21/2023 00:15,Holder Hall,Open Investigation
Theft,23-1692-OF,09/22/2023,12:01,09/15/2023 12:00,09/15/2023 12:00,09/16/2023 9:00,755 Alexander Rd,Open Investigation
Theft,23-1698-OF,09/22/2023,23:54,09/22/2023 23:30,09/22/2023 23:30,09/22/2023 23:50,Baker Hall,Open Investigation
Theft,23-1720-OF,09/25/2023,9:59,09/25/2023 08:00,09/25/2023 08:00,09/25/2023 09:15,Jadwin Gym,Open Investigation
Theft,23-1788-OF,10/4/23,17:39,09/25/2023 18:00,09/25/2023 18:00,10/1/23 14:00,Holder Hall,Open Investigation
Theft,23-1801-OF,10/6/23,14:21,10/6/23 13:30,6/10/2023 13:30,10/6/23 14:21,Fine Hall,Open Investigation
Theft,23-1803-OF,10/6/23,16:23,10/5/23 19:20,5/10/2023 19:20,10/5/23 20:30,Aliya Kanji Hall,Open Investigation
Theft,23-1804-OF,10/6/23,23:16,10/6/23 21:00,6/10/2023 21:00,10/6/23 23:00,Carl Icahn Laboratory,Open Investigation
Theft,23-1817-OF,10/8/23,19:06,10/7/23 8:00,7/10/2023 8:00,10/7/23 9:00,Holder Hall,Open Investigation
Theft,23-1822-OF,10/9/23,12:03,10/9/23 10:55,9/10/2023 10:55,10/9/23 11:50,McCosh Hall,Open Investigation
Theft,23-1837-OF,10/11/23,17:36,10/7/23 8:00,7/10/2023 8:00,10/9/23 0:00,Lawrence Apartments Building #11,Open Investigation
Theft,23-1846-OF,10/12/23,15:38,10/12/23 11:00,12/10/2023 11:00,10/12/23 15:44,Holder Hall,Open Investigation
Theft,23-1864-OF,10/16/2023,17:53,10/13/2023 17:53,10/13/2023 17:53,10/16/2023 18:19,S Harrison St,Open Investigation
Theft,23-1902-OF,10/23/2023,12:47,10/21/2023 14:30,10/21/2023 14:30,1023/2023 10:30,Stadium Drive Parking Garage,Open Investigation
Theft,23-1904-OF,10/23/2023,14:35,10/19/2023 19:00,10/19/2023 19:00,10/23/2023 13:00,Lockhart Hall,Open Investigation
Theft,23-1905-OF,10/23/2023,15:00,09/20/2023 15:00,09/20/2023 15:00,10/10/23 15:00,Jadwin Gymnasium,Open Investigation
Criminal Mischief,23-1177-OF,6/1/23,13:40,6/1/23 9:15,1/6/2023 9:15,6/1/23 13:30,West Garage,Open Investigation
Criminal Mischief,23-1178-OF,6/1/23,15:15,05/31/2023 20:00,05/31/2023 20:00,6/1/23 7:10,Little Hall,Open Investigation
Criminal Mischief,23-1179-OF,6/1/23,19:46,6/1/23 19:46,1/6/2023 19:46,6/1/23 19:47,Baker Hall,Open Investigation
Criminal Mischief,23-1182-OF,6/2/23,21:47,6/2/23 21:47,2/6/2023 21:47,6/2/23 21:49,Theater Garage,Open Investigation
Criminal Mischief,23-1217-OF,06/14/2023,17:37,06/14/2023 08:30,06/14/2023 08:30,06/14/2023 17:30,Lawrence Apartments,Open Investigation
Criminal Mischief,23-1231-OF,06/19/2023,10:22,06/16/2023 15:30,06/16/2023 15:30,06/19/2023 09:30,Frist Campus Center,Open Investigation
Criminal Mischief,23-1243-OF,06/21/2023,11:24,06/17/2023 14:30,06/17/2023 14:30,06/21/2023 11:24,Scudders Plaza,Open Investigation
Criminal Mischief,23-1329-OF,07/19/2023,14:48,07/19/2023 14:48,07/19/2023 14:48,07/19/2023 14:48,Scudders Plaza,Open Investigation
Criminal Mischief,23-1346-OF,07/24/2023,10:38,07/24/2023 10:38,07/24/2023 10:38,07/24/2023 10:38,Firestone Library,Open Investigation
Criminal Mischief,23-1418-OF,08/17/2023,8:00,8/1/22 8:00,1/8/2022 8:00,09/15/2022 08:00,Princeton Stadium,Open Investigation
Criminal Mischief,23-1420-OF,08/18/2023,6:41,08/17/2023 13:30,08/17/2023 13:30,08/18/2023 08:10,Whig Hall,Open Investigation
Criminal Mischief,23-1439-OF,08/22/2023,15:24,08/20/2022 00:00,08/20/2022 00:00,08/31/2022 17:00,220 Alexander Street,Open Investigation
Criminal Mischief,23-1485-OF,08/31/2023,9:28,08/30/2023 15:45,08/30/2023 15:45,08/31/2023 09:28,Firestone Library,Open Investigation
Criminal Mischief,23-1501-OF,9/2/23,18:01,9/1/23 0:00,1/9/2023 0:00,9/2/23 18:01,Fu Hall,Open Investigation
Criminal Mischief,23-1543-OF,9/6/23,10:45,9/6/23 9:58,6/9/2023 9:58,9/6/23 10:45,Frist Campus Center,Open Investigation
Criminal Mischief,23-1597-OF,9/11/23,15:08,9/9/23 22:00,9/9/2023 22:00,9/11/23 15:05,Old Graduate College,Open Investigation
Criminal Mischief,23-1623-OF,09/14/2023,13:56,09/14/2023 11:45,09/14/2023 11:45,09/14/2023 13:26,Firestone Library,Open Investigation
Criminal Mischief,23-1641-OF,09/16/2023,10:09,09/14/2023 06:18,09/14/2023 06:18,09/16/2023 10:06,Princeton Stadium,Open Investigation
Criminal Mischief,23-1768-OF,10/1/23,22:16,09/30/2023 00:00,09/30/2023 00:00,09/30/2023 09:45,Dean Mathey Apartment Complex,Open Investigation
Criminal Mischief,23-1783-OF,10/3/23,12:34,10/3/23 8:00,3/10/2023 8:00,10/3/23 12:59,North Guard Post,Open Investigation
Criminal Mischief,23-1812-OF,10/7/23,23:26,10/7/23 23:26,7/10/2023 23:26,10/8/23 23:26,Henry Hall Courtyard,Open Investigation
Criminal Mischief,23-1813-OF,10/8/23,0:11,10/6/23 18:32,6/10/2023 18:32,10/7/23 23:26,Class of 1901 Laughlin,Open Investigation
Criminal Mischief,23-1819-OF,10/9/23,8:22,10/7/23 23:30,7/10/2023 23:30,10/8/23 7:45,Class of 1901 Laughlin,Open Investigation
Criminal Mischief,23-1860-OF,10/16/2023,9:23,10/13/2023 10:00,10/13/2023 10:00,10/16/2023 09:23,Art Museum,Open Investigation
Criminal Mischief,23-1932-OF,10/26/2023,14:40,10/26/2023 13:00,10/26/2023 13:00,10/25/2023 15:30,Neuro Psychology Building,Open Investigation
Harassment,23-1280-OF,7/4/23,19:21,7/4/23 12:00,4/7/2023 12:00,7/4/23 19:20,Spelman Halls,Open Investigation
Trespassing,23-1294-OF,7/8/23,21:16,7/1/23 15:00,1/7/2023 15:00,7/8/23 21:10,Addy Hall,Open Investigation
Harassment,23-1301-OF,7/11/23,22:51,7/11/23 22:00,11/7/2023 22:00,7/11/23 22:45,Dinky Bar & Kitchen,Open Investigation
Trespassing,23-32-AR,7/12/23,12:53,7/12/23 14:15,12/7/2023 14:15,7/12/23 14:15,New College West,Open Investigation
Harassment,23-1309-OF,07/13/2023,23:33,07/13/2023 23:13,07/13/2023 23:13,07/13/2023 23:13,Lawrence Apartments,Open Investigation
Trespassing,23-1311-OF,07/14/2023,14:25,07/14/2023 09:00,07/14/2023 09:00,07/14/2023 14:25,Lewis Center for the Arts,Closed
Trespassing,23-1331-OF,07/20/2023,8:00,07/20/2023 08:00,07/20/2023 08:00,07/20/2023 08:00,Frist Campus Center,Closed
Harassment,23-1334-OF,07/20/2023,13:04,07/19/2023 06:00,07/19/2023 06:00,07/20/2023 10:31,171 Broadmead Street,Open Investigation
Harassment,23-1336-OF,07/20/2023,14:52,07/20/2023 10:30,07/20/2023 10:30,07/20/2023 14:43,New South Building,Open Investigation
Trespassing,23-1372-OF,8/5/23,19:57,8/5/23 19:00,5/8/2023 19:00,8/5/23 19:57,Firestone Library,Open Investigation
Harassment,23-1393-OF,8/12/23,22:55,8/12/23 22:06,12/8/2023 22:06,8/12/23 22:06,35-53 University Place,Open Investigation
Trespassing,23-1398-OF,08/13/2023,19:11,08/13/2023 19:11,08/13/2023 19:11,08/13/2023 19:11,Firestone Library,Open Investigation
Harassment,23-1410-OF,08/15/2023,15:04,8/7/23 13:23,7/8/2023 13:23,8/7/23 13:23,Green Hall,Open Investigation
Harassment,23-1545-OF,9/6/23,14:23,9/6/23 13:30,6/9/2023 13:30,9/6/23 14:00,Edwards Hall,Open Investigation
Harassment,23-1604-OF,9/12/23,11:59,9/12/23 7:12,12/9/2023 7:12,9/12/23 7:12,Nassau Hall,Closed
Trespassing,23-1632-OF,09/15/2023,15:12,09/14/2023 19:00,09/14/2023 19:00,09/15/2023 15:12,Jadwin Gymnasium,Open Investigation
Harassment,23-1642-OF,09/16/2023,13:43,09/16/2023 13:43,09/16/2023 13:43,09/16/2023 13:43,Forbes College,Open Investigation
Harassment,23-1680-OF,09/21/2023,14:05,4/1/23 0:00,1/4/2023 0:00,09/21/2023 14:05,Scully Hall,Open Investigation
Trespassing,23-1691-OF,09/22/2023,11:33,09/22/2023 04:20,09/22/2023 04:20,09/22/2023 04:23,Foulke Hall,Open Investigation
Trespassing,23-1704-OF,09/23/2023,13:52,09/23/2023 13:42,09/23/2023 13:42,09/23/2023 13:42,Forbes College,Open Investigation
Harassment,23-1707-OF,09/23/2023,20:15,09/15/2023 1:30,09/15/2023 1:30,09/23/2023 19:45,Fu Hall,Open Investigation
Trespassing,23-1718-OF,09/25/2023,5:33,09/24/2023 12:00,09/24/2023 12:00,09/24/2023 13:30,Bendheim Center,Open Investigation
Trespassing,23-1741-OF,09/28/2023,13:33,09/28/2023 13:33,09/28/2023 13:33,09/28/2023 13:33,Lewis Center for the Arts,Open Investigation
Harassment,23-1754-OF,09/30/2023,14:44,09/30/2023 14:30,09/30/2023 14:30,09/30/2023 15:00,Old Graduate College,Open Investigation
Harassment,23-1766-OF,10/1/23,12:56,6/1/23 0:00,1/6/2023 0:00,9/9/23 0:00,27 Edwards Place,Open Investigation
Harassment,23-1780-OF,10/3/23,12:29,09/23/2023 16:30,09/23/2023 16:30,10/3/23 12:07,Clio Hall,Open Investigation
Harassment,23-1802-OF,10/6/23,16:10,10/6/23 15:00,6/10/2023 15:00,10/6/23 15:00,Morrison Hall,Open Investigation
Trespassing,23-36-AR,10/8/23,23:04,10/8/23 23:04,8/10/2023 23:04,10/8/23 23:04,Bendheim Center for Finance,Arrest
Trespassing,23-37-AR,10/9/23,7:51,10/9/23 9:45,9/10/2023 9:45,10/9/23 9:45,Bendheim Center for Finance,Arrest
Trespassing,23-38-AR,10/11/23,12:40,10/11/23 12:40,11/10/2023 12:40,10/11/23 12:40,Bendheim Center for Finance,Arrest
Harassment,23-1834-OF,10/11/23,12:54,10/11/23 4:59,11/10/2023 4:59,10/11/23 6:00,Nassau Hall,Open Investigation
Harassment,23-1839-OF,10/12/23,8:51,10/11/23 8:30,11/10/2023 8:30,10/12/23 8:35,North Garage,Open Investigation
Harassment,23-1844-OF,10/12/23,13:37,10/7/23 16:00,7/10/2023 16:00,10/12/23 13:57,10 Washington Road,Open Investigation
Trespassing,23-39-AR,10/14/2023,21:41,10/14/2023 21:41,10/14/2023 21:41,10/14/2023 21:41,Aliya Kanji Hall,Arrest
Trespassing,23-1903-OF,10/23/2023,13:18,10/23/2023 13:18,10/23/2023 13:18,10/23/2023 13:18,Lewis Center for the Arts,
Trespassing,23-41-AR,10/24/2023,9:34,10/24/2023 09:34,10/24/2023 09:34,10/24/2023 09:34,Robertson Hall,Arrest
Harassment,23-1923-OF,10/25/2023,11:40,10/25/2023 10:13,10/25/2023 10:13,10/25/2023 11:40,Dickinson Hall,Open Investigation
Trespassing,23-1933-OF,10/26/2023,16:35,10/26/2023 16:35,10/26/2023 16:35,10/26/2023 16:35,Sherrerd Hall,Open Investigation
