Classification,Case Number,Date,Time,Occurred Earliest,Time_Cleaned,Occurred Latest,General Location,Disposition
Criminal Mischief,23-804-OF,04/19/2023,8:10,04/13/2023 12:00,04/13/2023 12:00,04/13/2023 15:09,Roberts Stadium,Open Investigation
Harassment,22-808-OF,04/19/2023,13:09,11/3/23 0:00,3/11/2023 0:00,04/18/2023 22:15,Pyne Hall,Open Investigation
Attempted Extortion,22-809-OF,04/19/2023,14:40,04/18/2023 14:45,04/18/2023 14:45,04/19/2023 10:00,Wilf Hall,Open Investigation
Fraud,23-814-OF,04/20/2023,11:11,3/1/23 0:00,1/3/2023 0:00,03/28/2023 16:37,Neuro Psychology Building,Open Investigation
Attempted Extortion,23-839-OF,04/23/2023,4:11,04/23/2023 04:11,04/23/2023 04:11,04/23/2023 04:11,Wendell Hall,Open Investigation
Theft,23-841-OF,04/23/2023,16:06,04/17/2023 00:00,04/17/2023 00:00,04/22/2023 18:15,Lawrence Apartments,Open Investigation
Theft,23-847-OF,04/24/2023,15:05,12/12/22 10:00,12/12/2022 10:00,4/3/23 10:30,Lakeside Apartments,Open Investigation
Theft,23-856-OF,04/25/2023,15:47,04/23/2023 15:00,04/23/2023 15:00,04/25/2023 15:30,Frist Campus Center,Open Investigation
Fraud,23-862-OF,04/26/2023,7:09,04/25/2023 11:30,04/25/2023 11:30,04/25/2023 11:30,Princeton Plasma Physics Laboratory,Open Investigation
Theft,23-863-OF,04/26/2023,11:00,04/22/2023 15:00,04/22/2023 15:00,04/23/2023 11:00,Addy Hall,Open Investigation
Theft,23-874-OF,04/27/2023,14:49,04/25/2023 19:00,04/25/2023 19:00,04/26/2023 09:30,Mathey Dining Hall,Open Investigation
Theft,23-877-OF,04/27/2023,16:52,04/27/2023 14:45,04/27/2023 14:45,04/27/2023 15:00,Sayre Hall,Open Investigation
Theft,23-881-OF,04/28/2023,9:09,04/27/2023 09:10,04/27/2023 09:10,04/28/2023 00:30,Dillon Gym,Open Investigation
Theft,23-883-OF,04/28/2023,15:00,04/27/2023 15:00,04/27/2023 15:00,04/28/2023 15:00,Class of 1901 Laughlin,Open Investigation
Fraud,23-886-OF,04/28/2023,23:06,04/28/2023 23:06,04/28/2023 23:06,04/28/2023 23:06,Class of 1976 Hall,Open Investigation
Fraud,23-903-OF,04/30/2023,9:44,2/12/23 11:00,12/2/2023 11:00,03/31/2023 00:00,Carl Icahn Laboratory,Open Investigation
Theft,23-917-OF,5/1/23,12:24,04/29/2023 17:00,04/29/2023 17:00,04/29/2023 23:00,Holder Archway East,Open Investigation
Theft,23-919-OF,5/1/23,15:44,1/10/23 16:00,10/1/2023 16:00,02/20/2023 16:00,Bedford Field,Open Investigation
Theft,23-923-OF,5/2/23,16:36,5/2/23 16:00,2/5/2023 16:00,5/2/23 16:15,Campus Club,Open Investigation
Theft,23-945-OF,5/5/23,8:46,5/4/23 10:46,4/5/2023 10:46,5/5/23 0:00,Lawrence Apartments,Open Investigation
Fraud,23-947-OF,5/5/23,10:29,03/27/2023 00:00,03/27/2023 00:00,5/2/23 0:00,Parking Lot 40,Open Investigation
Theft,23-960-OF,5/6/23,14:51,5/6/23 6:00,6/5/2023 6:00,5/6/23 14:30,Theater Drive Garage,Open Investigation
Theft,23-969-OF,5/8/23,0:16,5/8/23 0:16,8/5/2023 0:16,5/8/23 0:16,Holder Hall,Unfounded
Harassment,23-968-OF,5/7/23,19:03,5/7/23 18:45,7/5/2023 18:45,5/7/23 19:00,Little Hall,Open Investigation
Harassment,23-896-OF,04/29/2023,23:26,04/29/2023 23:26,04/29/2023 23:26,04/29/2023 23:26,Lakeside Apartments,Open Investigation
Criminal Mischief,23-912-OF,04/30/2023,22:23,04/30/2023 22:23,04/30/2023 22:23,04/30/2023 22:23,Lockhart Hall,Open Investigation
Harassment: Bias Incident,23-936-OF,5/3/23,21:25,5/3/23 14:26,3/5/2023 14:26,5/3/23 14:26,Stanhope Hall,Open Investigation
Criminal Mischief,23-941-OF,5/4/23,8:18,5/3/23 9:00,3/5/2023 9:00,5/4/23 7:50,Henry Hall,Open Investigation
