Buildings,Location
"COMMUNAL BLK A, 121",KV
"KENT VALE APARTMENT BLK G, 115",KV
"KENT VALE APARTMENT BLK H, 117",KV
"KENT VALE APARTMENT BLK I, 119",KV
SUB-STATION/BIN CENTRE,KV
BTC-CJ KOH LIBRARY,BTC
BTC-LI KA SHING BUILDING,BTC
BTC-LECTURE THEATRE,BTC
LECTURE THEATRE 1,CDE
LECTURE THEATRE 10,FASS
LECTURE THEATRE 11,FASS
LECTURE THEATRE 12,FASS
LECTURE THEATRE 13,FASS
LECTURE THEATRE 14,SOC
LECTURE THEATRE 15,SOC
LECTURE THEATRE 16,SOC
LECTURE THEATRE 17,SOC
LECTURE THEATRE 18,SOC
LECTURE THEATRE 19,SOC
LECTURE THEATRE 2,CDE
LECTURE THEATRE 20,FOS
LECTURE THEATRE 21,FOS
LECTURE THEATRE 26,FOS
LT 27 (LIM SENG TJOE LECTURE),FOS
LECTURE THEATRE 28,FOS
LECTURE THEATRE 29,FOS
LECTURE THEATRE 3,CDE
LECTURE THEATRE 31,FOS
LECTURE THEATRE 32,FOS
LECTURE THEATRE 33,FOS
LECTURE THEATRE 34,FOS
LECTURE THEATRE 35 (PETER AND MARY FU),FOS
LECTURE THEATRE 36 (ALICE AND PETER TAN),FOS
LECTURE THEATRE 37,FOS
LECTURE THEATRE 4,CDE
LECTURE THEATRE 6,CDE
LECTURE THEATRE 7,CDE
LECTURE THEATRE 7A,CDE
LECTURE THEATRE 8,FASS
LECTURE THEATRE 9,FASS
BTC-MOOT COURT,BTC
MD BLK 1  (TAHIR FDN BLDG),FOS
MEDICINE BLOCK 10,FOS
MEDICINE BLOCK 11,FOS
MEDICINE BLOCK 2,FOS
MEDICINE BLOCK 3,FOS
MEDICINE BLOCK 4,FOS
MD BLK 6 (CTR FOR TRANS  MED),FOS
MEDICINE BLOCK 7,FOS
MEDICINE BLOCK 9,FOS
BTC-MANASSEH MEYER,BTC
BTC- MULTIPURPOSE AUDITORIUM,BTC
MULTI-PURPOSE HALL 1 - 4,YIH
MEDICINE + SCIENCE LIBRARY,FOS
LKC NATURAL HISTORY MUSEUM,UCC
NATIONAL SINGAPORE WIND TUNNEL,UCC
NATIONAL UNIVERSITY CENTRE FOR ORAL HEALTH SINGAPORE,FOS
NUHS-MAIN BUILDING,FOS
NUHS TOWER BLOCK,FOS
DATA-CENTRE-NUS HIGH SCHOOL,SOC
BTC-OEI TIONG HAM,BTC
PGP RESIDENCES (BLOCK 1),PGP
PGP RESIDENCES (BLOCK 10),PGP
PGP RESIDENCES (BLOCK 11),PGP
PGP RESIDENCES (BLOCK 12),PGP
PGP RESIDENCES (BLOCK 13),PGP
PGP RESIDENCES (BLOCK 14),PGP
PGP RESIDENCES (BLOCK 15),PGP
PGP RESIDENCES (BLOCK 16),PGP
PGP RESIDENCES (BLOCK 17),PGP
PGP RESIDENCES (BLOCK 18),PGP
PGP RESIDENCES (BLOCK 19),PGP
PGP RESIDENCES (BLOCK 2),PGP
PGP RESIDENCES (BLOCK 20),PGP
PGP RESIDENCES (BLOCK 21),PGP
PGP RESIDENCES (BLOCK 22),PGP
PGP RESIDENCES (BLOCK 23),PGP
PGP RESIDENCES (BLOCK 24),PGP
PGP RESIDENCES (BLOCK 25),PGP
PGP RESIDENCES (BLOCK 26),PGP
PGP RESIDENCES (BLOCK 27),PGP
PGP RESIDENCES (BLOCK 28),PGP
PGP RESIDENCES (BLOCK 29),PGP
PGP RESIDENCES (BLOCK 3),PGP
PGP RESIDENCES (BLOCK 30),PGP
PGP RESIDENCES (BLOCK 4),PGP
PGP RESIDENCES (BLOCK 5),PGP
PGP RESIDENCES (BLOCK 6),PGP
PGP RESIDENCES (BLOCK 7),PGP
PGP RESIDENCES (BLOCK 8),PGP
PGP RESIDENCES (BLOCK 9),PGP
PGP RESIDENCES CANTEEN 2,PGP
PGP RESIDENCES LECTURE THEATRE,PGP
PGP RESIDENCES MPH,PGP
PGP RESIDENCES RESTAURANT,PGP
PGP BUS-STOP (OFFICE),PGP
SPORE POWER GRID-CON SWITCH RM,CDE
FOS-RICE SHED C-NEXT TO S3&S4,FOS
SCIENCE BLOCK 1,FOS
SCIENCE BLOCK 11,FOS
SCIENCE BLOCK 12,FOS
SCIENCE BLOCK 13,FOS
SCIENCE BLOCK 14,FOS
SCIENCE BLOCK 15,FOS
SCIENCE BLOCK 16,FOS
SCIENCE BLOCK 17,FOS
SCIENCE BLOCK 1A (LEE WEE KENG),FOS
SCIENCE BLOCK 2,FOS
SEA-TO-SPACE (18KR BUNGALOW),KR
SCIENCE BLOCK 3,FOS
SCIENCE BLOCK 4,FOS
SCIENCE BLOCK 4A,FOS
SCIENCE BLOCK 5,FOS
SCIENCE BLOCK 6,FOS
SCIENCE BLOCK 7,FOS
SCIENCE BLOCK 8,FOS
SCIENCE BLOCK 9,FOS
DESIGN & ENVIRONMENT BLOCK 1,CDE
DESIGN & ENVIRONMENT BLOCK 2,CDE
DESIGN & ENVIRONMENT BLOCK 3,CDE
DESIGN & ENVIRONMENT BLOCK 4,CDE
SHAW FOUNDATION ALUMNI HOUSE,BIZ
SHEARES HALL (BLOCK A),HALL
SHEARES HALL (BLOCK B),HALL
SHEARES HALL (BLOCK C),HALL
SHEARES HALL (BLOCK D),HALL
SHEARES HALL (BLOCK E),HALL
SHEARES HALL (COMMUNAL HALL),HALL
FOS - SHED B-NEXT TO S3&S4,FOS
BTC-LOUNGE,BTC
SRC MINI GRAND STAND,YIH
MULTI-PURPOSE HALL 5 & 6,YIH
BTC-SUB-STATION,BTC
DECOM SUB-STATION 1 (NEAR LKCNHM),UCC
DECOM SUB-STATION 2 (NEAR TEM HALL),HALL
SUB-STATION 3 (NEAR S13),FOS
SUB-STATION 4 (NEAR KEVII),PGP
S'PORE SYNCHROTRON LIGHTSOURCE,COM
STORE 1 (NEAR KEVII HALL),PGP
STORE 2 (NEAR KEVII HALL),PGP
TEMASEK LAB,CDE
BTC-TOWER BLOCK,BTC
TECH CTR FOR OFFSHORE & MARINE,PGP
CANTEEN 2 (THE DECK),FASS
TEMASEK LIFE SCIENCE LAB,PGP
TMSI-ST JOHN'S ISLAND,FASS
UNIVERSITY CULTURAL CENTRE,UCC
UNIVERSITY HALL,YIH
UNIVERSITY HEALTH CENTRE,YIH
UNIVERSITY SPORT CENTRE,YIH
RESIDENT COLLEGE 4 -MPH,UTown
RESIDENT COLLEGE 4,UTown
DINING HALL (RC4 & CAPT),UTown
COLLEGE OF A&P TAN -TOWER,UTown
COLLEGE OF A&P TAN -MPH,UTown
CINNAMON COLLEGE -MPH,UTown
CINNAMON UNI SCH PROG (USP),UTown
CINNAMON LEARN LOBE,UTown
CINNAMON COLLEGE -MAIN BLK,UTown
DINNING HALL (C&T COLLEGE),UTown
TEMBUSU COLLEGE- MAIN BLK,UTown
